"For the following METAR: METAR KOUN 181200Z 30005KT 10SM SKC 25/15 A3010, what is the wind speed (Enter a number with a G as necessary for gusts, if there is no wind, put 0)"*"05"
"For the following METAR: METAR KOUN 181200Z 30005KT 10SM SKC 25/15 A3010, what is the visibility (enter a fraction or whole number)?"*"10"
"For the following METAR: METAR KOUN 181200Z 30005KT 10SM SKC 25/15 A3010, what day of the month was it issued?"*"18"
"For the following METAR: METAR KOUN 181200Z 30005KT 10SM SKC 25/15 A3010, what time was it issued (in Zulu time; put only numbers)?"*"1200"
"For the following METAR: METAR KOUN 181200Z 30005KT 10SM SKC 25/15 A3010, what weather is present (type None if none is present)?"*"None"
"For the following METAR: METAR KOUN 181200Z 30005KT 10SM SKC 25/15 A3010, what is the ceiling (type only numbers or None if no ceiling)?"*"None"
"For the following METAR: METAR KOUN 181200Z 30005KT 10SM SKC 25/15 A3010, what is the temperature/dewpoint spread?"*"10"
"For the following METAR: METAR KOUN 181200Z 30005KT 10SM SKC 25/15 A3010, what is the pressure?"*"30.10"
"For the following METAR: METAR KOUN 181800Z 14010KT 4SM -RA OVC025 18/12 A2985, what is the wind speed (Enter a number with a G as necessary for gusts, if there is no wind, put 0)"*"10"
"For the following METAR: METAR KOUN 181800Z 14010KT 4SM -RA OVC025 18/12 A2985, what is the visibility (enter a fraction or whole number)?"*"4"
"For the following METAR: METAR KOUN 181800Z 14010KT 4SM -RA OVC025 18/12 A2985, what day of the month was it issued?"*"18"
"For the following METAR: METAR KOUN 181800Z 14010KT 4SM -RA OVC025 18/12 A2985, what time was it issued (in Zulu time; put only numbers)?"*"1800"
"For the following METAR: METAR KOUN 181800Z 14010KT 4SM -RA OVC025 18/12 A2985, what weather is present (type None if none is present)?"*"Light Rain"
"For the following METAR: METAR KOUN 181800Z 14010KT 4SM -RA OVC025 18/12 A2985, what is the ceiling (type only numbers or None if no ceiling)?"*"2500"
"For the following METAR: METAR KOUN 181800Z 14010KT 4SM -RA OVC025 18/12 A2985, what is the temperature/dewpoint spread?"*"6"
"For the following METAR: METAR KOUN 181800Z 14010KT 4SM -RA OVC025 18/12 A2985, what is the pressure?"*"29.85"
"For the following METAR: METAR KOUN 210600Z 00000KT 1/4SM FG SCT002 10/08 A3005, what is the wind speed (Enter a number with a G as necessary for gusts, if there is no wind, put 0)"*"00"
"For the following METAR: METAR KOUN 210600Z 00000KT 1/4SM FG SCT002 10/08 A3005, what is the visibility (enter a fraction or whole number)?"*"1/4"
"For the following METAR: METAR KOUN 210600Z 00000KT 1/4SM FG SCT002 10/08 A3005, what day of the month was it issued?"*"21"
"For the following METAR: METAR KOUN 210600Z 00000KT 1/4SM FG SCT002 10/08 A3005, what time was it issued (in Zulu time; put only numbers)?"*"0600"
"For the following METAR: METAR KOUN 210600Z 00000KT 1/4SM FG SCT002 10/08 A3005, what weather is present (type None if none is present)?"*"Fog"
